,cluster,Name
147,4,U79-JAUNPUR SORTING OFFICE
148,0,U141-KANNUAJ BRANCH
149,2,U03-KANPUR BRANCH
150,0,U140-LAKHIMPUR MINI BRANCH
151,1,U01-LUCKNOW BRANCH
152,4,U43-LUCKNOW APEX
153,1,U48-MAHANAGAR LUCKNOW BRANCH
154,1,U139-LUCKNOW TRANSPORT NAGAR BRANCH
155,1,U143-GOMTI NAGAR BRANCH
156,0,U110-ORAI NODAL POINT
157,0,U144-RAEBARELI BRANCH
158,0,U44-RENUKOOT SUPER FRANCHISEE
159,0,U77-SHAHJAHANPUR SUPER FRANCHISEE
160,0,U95-HARDOI NODAL POINT
161,1,U04-VARANASI APEX
162,1,U130-VARANASI BRANCH
163,0,L05-DHARUHERA BRANCH
164,3,L01-GURGAON DP PROCESSING CENTER APEX
165,2,L02-GURGAON MASTER FRANCHISEE
166,1,L03-GURGAON - HERO HONDA CHOWK BRANCH
167,2,L04-GURGAON APEX
168,1,L23-MANESAR BRANCH
169,1,L27-GURGAON - SOHNA ROAD BRANCH
170,0,L28-NUH RURAL BRANCH
171,0,J06-AMBALA BRANCH
172,1,J10-AMBALA APEX
173,1,J05-AMRITSAR BRANCH
174,0,J12-BADDI SUPER FRANCHISEE
175,0,J37-BAHADURGARH BRANCH
176,1,J08-BHATINDA BRANCH
177,0,J20-BILASPUR SUPER FRANCHISEE
178,2,J01-CHANDIGARH BRANCH
179,3,J29-PANCHKULA APEX
180,1,J07-HISSAR BRANCH
181,1,J02-JALANDHAR BRANCH
182,0,J15-KARNAL BRANCH
183,1,J26-KUNDLI BRANCH
184,2,J03-LUDHIANA BRANCH
185,0,J48-MOGA BRANCH
186,1,J21-MOHALI BRANCH
187,0,J19-NANGAL BRANCH
188,1,J13-PANCHKULA BRANCH
189,1,J04-PANIPAT BRANCH
190,0,J11-PATHANKOT BRANCH
191,1,J18-PATIALA BRANCH
192,0,J17-PHAGWARA BRANCH
193,1,J16-RAJPURA BRANCH
194,1,J25-ROHTAK BRANCH
195,4,J14-SHIMLA BRANCH
196,0,J36-SIRSA BRANCH
197,0,J39-SOLAN BRANCH
198,0,J50-YAMUNA NAGAR BRANCH
199,0,Q09-AJMER BRANCH
200,0,Q07-ALWAR BRANCH
201,0,Q44-NEEMRANA BRANCH
202,0,Q34-BAWAL BRANCH
203,0,Q18-BEHROR SORTING OFFICE
204,0,Q40-BHARATPUR BRANCH
205,0,Q12-BHILWARA SORTING OFFICE
206,0,Q11-BHIWADI BRANCH
207,0,Q14-BIKANER BRANCH
208,1,Q01-JAIPUR LALKOTHI BRANCH
209,3,Q05-JAIPUR APEX
210,1,Q06-JAIPUR VAISHALINAGAR BRANCH
211,1,Q17-MANSAROVAR BRANCH
212,0,Q35-JAIPUR VKI BRANCH
213,0,Q41-BAGRU BRANCH
214,0,Q43-SHAHPURA (JAIPUR ROAD) NODAL POINT
215,1,Q02-JODHPUR BRANCH
216,1,Q03-KOTA SUPER FRANCHISEE
217,0,Q10-PALI BRANCH
218,0,Q16-SIKAR BRANCH
219,0,Q13-SRIGANGANAGAR BRANCH
220,1,Q04-UDAIPUR BRANCH
221,2,N02-TRANSYAMUNA BRANCH
222,2,N03-NARAINA CITY BRANCH
223,0,N05-DELHI SAMALKHA APEX
224,1,N09-WAZIRPUR BRANCH
225,2,N10-JHANDEWALAN BRANCH
226,2,N11-MEERBAGH BRANCH
227,1,N15-DURGAPURI BRANCH
228,2,N17-ROHINI BRANCH
229,0,N20-DELHI DP PROCESSING CENTRE APEX
230,0,N24-DELHI ECOMMERCE PROCESSING CENTRE APEX
231,1,N33-DARYGANJ BRANCH
232,0,N40-BAWANA BRANCH
233,1,N37-JAMMU BRANCH
234,2,N30-NOIDA APEX
235,1,N31-GREATER NOIDA BRANCH
236,2,N32-NOIDA PH3 BRANCH
237,1,N35-PARI CHOWK BRANCH
238,4,N38-SRI NAGAR BRANCH
239,1,S27-BALLABHGARH BRANCH
240,2,S01-KHIRKI BRANCH
241,1,S03-MAHIPALPUR BRANCH
242,2,S04-OKHLA BRANCH
243,1,S09-DWARKA BRANCH
244,1,S17-ASHRAM BRANCH
245,4,S25-SOUTH DELHI DP PROCESSING CENTER APEX
246,0,S26-CHATTARPUR BRANCH
247,1,S02-FARIDABAD BRANCH
248,1,U09-AGRA BRANCH
249,1,U16-ALIGARH BRANCH
250,1,U15-BAREILLY BRANCH
251,0,U31-BIJNORE BRANCH
252,0,U145-BULANDSHAHR BRANCH
253,1,U10-DEHRADUN BRANCH
254,0,U28-SELAQUI BRANCH
255,2,U11-GHAZIABAD APEX
256,1,U07-GWALIOR BRANCH
257,0,U12-HALDWANI BRANCH
258,0,U18-HARDWAR BRANCH
259,0,U24-JHANSI BRANCH
260,0,U27-KASHIPUR BRANCH
261,0,U25-MATHURA BRANCH
262,1,U13-MEERUT BRANCH
263,1,U14-MORADABAD BRANCH
264,0,U19-MUZAFFARNAGAR BRANCH
265,0,U17-RISHIKESH BRANCH
266,0,U22-ROORKEE BRANCH
267,0,U23-RUDRAPUR BRANCH
